id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
212,Daily Digest,Episode 20,90.21,News,44.68,Sunday,Evening,,2,Positive,47.59923
216,Athlete's Arena,Episode 96,38.87,Sports,24.39,Sunday,Night,45.82,0,Neutral,32.58684
219,Fashion Forward,Episode 42,34.82,Lifestyle,88.68,Sunday,Evening,14.63,0,Positive,16.86
227,Fitness First,Episode 13,41.4,Health,93.57,Sunday,Evening,16.59,2,Neutral,27.36532
244,Study Sessions,Episode 61,,Education,76.58,Sunday,Afternoon,,3,Neutral,25.47517
255,Style Guide,Episode 57,58.53,Lifestyle,93.89,Sunday,Morning,13.17,3,Negative,23.54377
257,Study Sessions,Episode 71,42.72,Education,79.39,Sunday,Night,,2,Positive,36.52
260,Athlete's Arena,Episode 53,101.63,Sports,79.66,Sunday,Afternoon,34.66,2,Negative,58.6402
262,Game Day,Episode 59,69.83,Sports,38.82,Sunday,Evening,55.71,3,Negative,32.36117
268,World Watch,Episode 12,18.96,News,83.12,Sunday,Evening,60.11,3,Negative,5.57124
273,Tech Talks,Episode 6,54.23,Technology,78.66,Sunday,Evening,,0,Neutral,46.59939
274,Fashion Forward,Episode 44,56.26,Lifestyle,74.26,Sunday,Night,16.92,1,Neutral,31.52727
277,Tune Time,Episode 41,117.7,Music,58.44,Sunday,Night,18.59,3,Neutral,69.6969
279,Digital Digest,Episode 65,23.04,Technology,76.68,Sunday,Evening,95.24,0,Neutral,16.65
283,Joke Junction,Episode 19,108.93,Comedy,28.76,Sunday,Afternoon,12.72,2,Neutral,100.97187
285,Money Matters,Episode 78,90.01,Business,68.3,Sunday,Night,53.31,0,Positive,64.81158
294,Tech Talks,Episode 45,107.9,Technology,71,Sunday,Afternoon,51.53,0,Positive,83.51863
297,World Watch,Episode 91,41.06,News,57.18,Sunday,Evening,52.61,2,Negative,22.39584
300,Mind & Body,Episode 72,101.6,Health,39.81,Sunday,Morning,10.73,0,Neutral,98.57901
301,Business Briefs,Episode 22,108.39,Business,89.44,Sunday,Afternoon,68.91,0,Neutral,54.74661
311,Digital Digest,Episode 46,98.72,Technology,57.17,Sunday,Evening,57.64,3,Neutral,55.9701
319,Health Hour,Episode 17,93.07,Health,39.69,Sunday,Night,,0,Positive,71.67
324,Humor Hub,Episode 89,35.83,Comedy,58.83,Sunday,Morning,80.16,2,Neutral,24.89489
339,Tech Trends,Episode 93,44.87,Technology,66.05,Sunday,Night,0.5,3,Positive,25.07462
349,Fashion Forward,Episode 89,69.26,Lifestyle,37.94,Sunday,Afternoon,64.11,2,Positive,42.03004
360,Tune Time,Episode 24,49.2,Music,69.81,Sunday,Evening,,3,Neutral,47.36
362,Finance Focus,Episode 26,69.03,Business,26.45,Sunday,Afternoon,80.53,2,Positive,44.95126
363,Lifestyle Lounge,Episode 26,25.01,Lifestyle,66.46,Sunday,Morning,83.13,3,Neutral,10.2613
365,Sound Waves,Episode 70,63.93,Music,41.66,Sunday,Morning,18.61,0,Positive,46.49216
371,Lifestyle Lounge,Episode 33,80.38,Lifestyle,64.26,Sunday,Evening,42.14,1,Negative,53.87284
372,Business Insights,Episode 81,8.31,Business,46.68,Sunday,Night,67.41,1,Negative,0
374,Sports Central,Episode 62,117.61,Sports,71.78,Sunday,Evening,37.59,3,Negative,62.63118
381,Gadget Geek,Episode 72,,Technology,27.44,Sunday,Evening,,3,Negative,21.74
382,Detective Diaries,Episode 50,22.03,True Crime,77.14,Sunday,Afternoon,,0,Negative,11.74361
384,Innovators,Episode 18,28.23,Technology,57.66,Sunday,Night,54.21,2,Positive,19.3439
387,Detective Diaries,Episode 6,28.51,True Crime,71.23,Sunday,Night,29.45,3,Neutral,16.77295
389,Learning Lab,Episode 20,89.59,Education,84.61,Sunday,Night,,1,Neutral,57.4335
390,Finance Focus,Episode 75,27.41,Business,93.08,Sunday,Night,,3,Negative,20.50025
396,Tune Time,Episode 5,41.66,Music,59.73,Sunday,Evening,99.12,1,Neutral,35.56256
402,Humor Hub,Episode 10,102.81,Comedy,61.9,Sunday,Night,84.81,0,Neutral,99.33516
403,Innovators,Episode 72,51.13,Technology,96.7,Sunday,Afternoon,9.02,1,Positive,34.54301
411,Detective Diaries,Episode 43,93.06,True Crime,45.21,Sunday,Afternoon,47.37,0,Negative,53.78436
434,Sport Spot,Episode 23,,Sports,38.52,Sunday,Afternoon,48.71,0,Positive,41.39928
437,Study Sessions,Episode 1,29.54,Education,26.47,Sunday,Night,95.68,3,Negative,21.42
441,Home & Living,Episode 14,78.3,Lifestyle,83.87,Sunday,Afternoon,14.24,0,Neutral,60.26525
446,Crime Chronicles,Episode 45,55.11,True Crime,71.41,Sunday,Night,13.85,2,Negative,39.94001
449,Mind & Body,Episode 4,94.97,Health,76.21,Sunday,Night,85.47,1,Neutral,63.03
453,Tune Time,Episode 29,98.74,Music,63.07,Sunday,Afternoon,,3,Negative,73.01012
463,Funny Folks,Episode 63,49.81,Comedy,61.51,Sunday,Evening,49.78,1,Positive,29.88492
465,Lifestyle Lounge,Episode 93,81.67,Lifestyle,59.4,Sunday,Afternoon,42.58,0,Neutral,65.73
469,Athlete's Arena,Episode 23,64,Sports,26.45,Sunday,Evening,,2,Neutral,47.5192
472,Melody Mix,Episode 58,66.46,Music,95.57,Sunday,Morning,41.12,0,Positive,35.20274
475,Healthy Living,Episode 76,17.46,Health,49.06,Sunday,Evening,,3,Positive,8.26
477,Humor Hub,Episode 32,97.11,Comedy,73.46,Sunday,Afternoon,45.39,0,Positive,70.85349
478,True Crime Stories,Episode 15,24.24,True Crime,29.94,Sunday,Morning,38.9,1,Negative,13.98639
480,Educational Nuggets,Episode 89,68.07,Education,79.54,Sunday,Evening,11.66,1,Positive,55.22204
481,Money Matters,Episode 72,61.39,Business,43.98,Sunday,Afternoon,22.51,3,Negative,43.04169
482,Criminal Minds,Episode 25,67.55,True Crime,58.59,Sunday,Night,54.23,3,Positive,53.3
483,Humor Hub,Episode 77,31.43,Comedy,94.8,Sunday,Night,,3,Positive,16.67
485,Sport Spot,Episode 31,87.26,Sports,84.21,Sunday,Evening,,3,Positive,68.58328
497,Funny Folks,Episode 40,68.06,Comedy,91.88,Sunday,Evening,20.92,1,Positive,36.85461
510,World Watch,Episode 81,,News,38.73,Sunday,Afternoon,48.99,1,Positive,53.09
520,Innovators,Episode 37,22.22,Technology,98.22,Sunday,Afternoon,,3,Neutral,15.18438
525,Market Masters,Episode 23,,Business,23.35,Sunday,Evening,48.23,1,Neutral,26.42971
528,Athlete's Arena,Episode 81,37.44,Sports,40.66,Sunday,Night,32.89,0,Negative,35.25325
537,Fashion Forward,Episode 9,17.14,Lifestyle,93.76,Sunday,Morning,,1,Negative,8.53024
540,Game Day,Episode 100,,Sports,39.87,Sunday,Afternoon,68.46,2,Positive,16.131
545,Current Affairs,Episode 69,66.4,News,65.6,Sunday,Afternoon,89.55,0,Neutral,50.75
548,Home & Living,Episode 68,115.68,Lifestyle,56.51,Sunday,Night,,0,Negative,97.84395
562,Criminal Minds,Episode 20,106.57,True Crime,35.17,Sunday,Night,53.98,2,Positive,101.93491
563,Healthy Living,Episode 86,109.89,Health,38.58,Sunday,Morning,74.04,0,Neutral,81.99123
574,Joke Junction,Episode 10,29.34,Comedy,50.18,Sunday,Night,26.72,0,Neutral,24.24258
581,Style Guide,Episode 46,114.08,Lifestyle,60.12,Sunday,Morning,,1,Negative,68.94678
600,Business Insights,Episode 66,6.6,Business,85.29,Sunday,Evening,,3,Negative,0
601,Humor Hub,Episode 5,63.13,Comedy,51.03,Sunday,Morning,34.57,3,Positive,46.0556
604,Tune Time,Episode 33,66.17,Music,30.46,Sunday,Evening,61.58,2,Neutral,52.55352
606,Innovators,Episode 46,11.81,Technology,63.04,Sunday,Morning,38.49,1,Positive,0
632,Lifestyle Lounge,Episode 95,30.9,Lifestyle,45.1,Sunday,Night,,3,Positive,17.72
633,Fitness First,Episode 68,119.11,Health,84.16,Sunday,Morning,54.31,1,Neutral,77.68666
644,Athlete's Arena,Episode 27,33.94,Sports,91.61,Sunday,Evening,59.35,2,Positive,28.26895
658,Style Guide,Episode 67,62.5,Lifestyle,91.21,Sunday,Afternoon,98.44,1,Positive,29.87855
667,Game Day,Episode 73,47.48,Sports,35.2,Sunday,Night,56.17,1,Negative,34.72509
671,Sport Spot,Episode 93,58.89,Sports,97.99,Sunday,Evening,85.33,0,Neutral,51.57264
679,Brain Boost,Episode 71,83.26,Education,70.6,Sunday,Night,,3,Negative,61.00925
682,Market Masters,Episode 67,69.82,Business,26.07,Sunday,Evening,73.27,1,Negative,64.82635
684,Home & Living,Episode 20,59.49,Lifestyle,38.41,Sunday,Evening,61.63,0,Positive,29.24945
695,News Roundup,Episode 31,29.28,News,44.58,Sunday,Afternoon,,3,Neutral,24.72
696,Mystery Matters,Episode 10,62.08,True Crime,36.79,Sunday,Evening,38.86,0,Negative,51.38054
700,Finance Focus,Episode 87,78.05,Business,82.61,Sunday,Night,15.08,0,Neutral,72.40423
702,Style Guide,Episode 50,119.62,Lifestyle,31.11,Sunday,Afternoon,42.41,1,Neutral,95.54219
707,Funny Folks,Episode 48,57.59,Comedy,34.5,Sunday,Evening,54.84,0,Neutral,30.08993
717,Digital Digest,Episode 38,,Technology,63.18,Sunday,Morning,14.05,3,Neutral,41.9476
721,Funny Folks,Episode 66,,Comedy,40.43,Sunday,Afternoon,,2,Positive,44.06121
726,Educational Nuggets,Episode 87,110.65,Education,62.61,Sunday,Night,13.18,0,Positive,91.64469
731,Detective Diaries,Episode 69,,True Crime,90.52,Sunday,Evening,1.06,1,Neutral,48.05591
732,Money Matters,Episode 16,64.73,Business,97.43,Sunday,Night,37.45,0,Positive,56.03255
743,Tune Time,Episode 54,102.85,Music,21.87,Sunday,Afternoon,31.46,1,Positive,81.92629
749,Tech Talks,Episode 1,50.11,Technology,98.54,Sunday,Afternoon,68.16,1,Negative,43.07
751,Game Day,Episode 27,82.37,Sports,77.42,Sunday,Evening,,1,Positive,53.53525
757,Home & Living,Episode 66,,Lifestyle,92.49,Sunday,Morning,,3,Neutral,21.06597
759,Study Sessions,Episode 26,97.29,Education,83.17,Sunday,Evening,88.59,3,Neutral,56.32578
776,Melody Mix,Episode 3,92.44,Music,26.72,Sunday,Morning,26.56,2,Positive,86.17873
781,Money Matters,Episode 35,46.19,Business,76.13,Sunday,Afternoon,,0,Neutral,33.06771
787,Brain Boost,Episode 85,48.91,Education,38.47,Sunday,Afternoon,76.86,2,Neutral,17.66487
792,Fashion Forward,Episode 52,23.52,Lifestyle,82.67,Sunday,Evening,6.39,1,Neutral,19.12313
805,Mind & Body,Episode 33,23.51,Health,35.14,Sunday,Night,,2,Neutral,16.91772
808,Fitness First,Episode 47,64.46,Health,81.63,Sunday,Afternoon,33.46,0,Neutral,32.25634
815,Educational Nuggets,Episode 87,92.5,Education,37.24,Sunday,Morning,7.11,2,Negative,61.47346
818,Business Briefs,Episode 94,,Business,38.08,Sunday,Evening,11.26,1,Positive,37.11585
823,Learning Lab,Episode 33,10.57,Education,28.16,Sunday,Night,64.05,0,Neutral,2.81342
830,Current Affairs,Episode 69,32.82,News,55.92,Sunday,Morning,,0,Negative,26.60556
832,Joke Junction,Episode 43,12.41,Comedy,56.72,Sunday,Evening,37.84,0,Positive,1.01981
844,Tune Time,Episode 43,64.92,Music,59.4,Sunday,Morning,70.5,1,Neutral,55.58423
850,True Crime Stories,Episode 100,58.06,True Crime,72.13,Sunday,Evening,18.54,0,Positive,54.51915
851,True Crime Stories,Episode 51,65.82,True Crime,40.27,Sunday,Night,86.18,1,Neutral,47.93502
865,Study Sessions,Episode 46,70.6,Education,41.35,Sunday,Afternoon,77.23,3,Negative,54.32311
870,Funny Folks,Episode 64,94.67,Comedy,99.35,Sunday,Morning,28.81,0,Neutral,70.39984
871,Business Briefs,Episode 66,69.19,Business,31.63,Sunday,Afternoon,57.94,3,Negative,48.87242
880,Wellness Wave,Episode 37,69.16,Health,94.39,Sunday,Evening,,1,Negative,64.82652
881,Daily Digest,Episode 65,74.21,News,67.47,Sunday,Evening,71.89,0,Positive,71.15281
883,Global News,Episode 25,116.64,News,50.51,Sunday,Night,10.74,0,Negative,103.36662
899,Sound Waves,Episode 70,80.73,Music,34.9,Sunday,Morning,34.85,3,Neutral,53.20818
902,Life Lessons,Episode 95,111.54,Lifestyle,95.34,Sunday,Afternoon,29.27,1,Neutral,87.77397
903,Global News,Episode 19,61.79,News,58.09,Sunday,Night,0.03,2,Neutral,52.39321
904,Healthy Living,Episode 81,104.44,Health,98.58,Sunday,Afternoon,7.56,0,Negative,71.98016
910,Learning Lab,Episode 11,88.61,Education,24.21,Sunday,Night,24.9,0,Positive,62.95459
920,Tune Time,Episode 19,52.77,Music,95.4,Sunday,Evening,42.14,0,Negative,43.64458
930,Lifestyle Lounge,Episode 68,46.9,Lifestyle,49.61,Sunday,Evening,34.08,1,Positive,24.85166
941,Tune Time,Episode 40,92.15,Music,23.67,Sunday,Night,22.4,2,Neutral,43.37953
942,Tech Talks,Episode 71,,Technology,53.85,Sunday,Morning,,2,Positive,61.67787
952,Educational Nuggets,Episode 50,6.79,Education,67.19,Sunday,Evening,,0,Negative,0
958,Life Lessons,Episode 25,7.37,Lifestyle,80.23,Sunday,Night,14.27,0,Positive,6.47874
959,Mind & Body,Episode 29,64.31,Health,40.63,Sunday,Morning,,1,Negative,46.85637
971,Brain Boost,Episode 40,27.87,Education,82.18,Sunday,Afternoon,,1,Positive,12.9
981,Sports Weekly,Episode 71,118.8,Sports,34.44,Sunday,Morning,19.35,3,Negative,100.25738
986,Crime Chronicles,Episode 96,79.38,True Crime,22.7,Sunday,Afternoon,48.9,1,Negative,53.6
991,Fitness First,Episode 81,31.55,Health,27.98,Sunday,Evening,,2,Negative,12.75
999,Sports Weekly,Episode 90,30.01,Sports,76.35,Sunday,Night,25.73,2,Positive,14.46
1008,Brain Boost,Episode 33,67.31,Education,20.55,Sunday,Night,3.03,0,Neutral,53.63704
1010,Lifestyle Lounge,Episode 62,62.4,Lifestyle,50.72,Sunday,Evening,75.25,0,Neutral,33.68448
1018,Business Insights,Episode 81,74.79,Business,30.11,Sunday,Night,,0,Positive,68.63865
1026,Funny Folks,Episode 64,79.09,Comedy,59.4,Sunday,Afternoon,57.52,0,Positive,65.73
1040,Joke Junction,Episode 86,60.03,Comedy,53.61,Sunday,Morning,38.45,1,Neutral,41.15413
1052,Humor Hub,Episode 98,89.79,Comedy,52.15,Sunday,Evening,88.83,2,Positive,83.46665
1054,Tech Talks,Episode 4,100.24,Technology,68.44,Sunday,Night,30.86,3,Positive,50.60261
1058,Music Matters,Episode 53,97.26,Music,71.52,Sunday,Evening,53.83,0,Neutral,64.09417
1069,Home & Living,Episode 61,114.98,Lifestyle,31.86,Sunday,Evening,,3,Negative,72.65
1078,Digital Digest,Episode 31,111.59,Technology,48.68,Sunday,Night,56.41,0,Neutral,61.48
1083,Laugh Line,Episode 65,42.6,Comedy,24.19,Sunday,Afternoon,41.82,1,Neutral,19.90407
1085,Mystery Matters,Episode 36,,True Crime,41.06,Sunday,Morning,46.03,3,Negative,78.27
1087,Humor Hub,Episode 27,111.37,Comedy,71.92,Sunday,Afternoon,61.02,0,Neutral,52.11391
1091,Mind & Body,Episode 42,6.6,Health,67.58,Sunday,Morning,,2,Neutral,0
1102,True Crime Stories,Episode 59,110.24,True Crime,49.57,Sunday,Evening,92.08,1,Neutral,81.28695
1103,Sports Central,Episode 65,65.97,Sports,80.83,Sunday,Morning,23.62,1,Negative,50.31323
1105,Healthy Living,Episode 38,65.7,Health,65.12,Sunday,Night,,0,Positive,53.14496
1114,Criminal Minds,Episode 35,74.06,True Crime,41.36,Sunday,Afternoon,47.88,0,Neutral,37.16059
1119,Sport Spot,Episode 72,73.19,Sports,69.53,Sunday,Night,99.2,3,Neutral,49.6554
1131,Money Matters,Episode 69,31.57,Business,23.41,Sunday,Evening,48.26,3,Positive,22.56
1148,Laugh Line,Episode 85,18.73,Comedy,33.04,Sunday,Afternoon,70.12,1,Negative,13.30806
1151,Business Insights,Episode 72,44.7,Business,36.19,Sunday,Morning,,3,Neutral,31.82528
1171,Digital Digest,Episode 55,33.03,Technology,56.88,Sunday,Morning,89.84,0,Positive,30.26758
1186,Sports Central,Episode 29,36.73,Sports,23.77,Sunday,Night,69.93,0,Positive,29.2632
1195,Business Briefs,Episode 33,99.44,Business,25.96,Sunday,Morning,20.47,2,Positive,49.793
1197,Music Matters,Episode 17,52.41,Music,59.02,Sunday,Night,59.59,0,Neutral,26.94256
1198,World Watch,Episode 69,10.51,News,72.94,Sunday,Night,98.63,1,Negative,5.18616
1204,Game Day,Episode 59,74.26,Sports,49.19,Sunday,Morning,6.97,1,Neutral,64.92
1205,Game Day,Episode 65,84.99,Sports,28.67,Sunday,Afternoon,68.49,0,Negative,66.66646
1219,Home & Living,Episode 99,15.28,Lifestyle,89.2,Sunday,Evening,30.36,3,Negative,2.13969
1220,Fitness First,Episode 35,103.13,Health,34.93,Sunday,Evening,98.89,2,Positive,73.14665
1229,Sports Weekly,Episode 49,,Sports,27.71,Sunday,Night,79.84,2,Negative,83.22101
1243,Sports Central,Episode 34,41.26,Sports,51.13,Sunday,Morning,,3,Positive,27.89298
1249,Sports Weekly,Episode 10,28.3,Sports,80.65,Sunday,Afternoon,,0,Neutral,24.24797
1251,Detective Diaries,Episode 47,113.57,True Crime,41.17,Sunday,Night,40.54,1,Negative,63.69697
1252,Global News,Episode 27,38.76,News,26.2,Sunday,Evening,3.12,2,Negative,26.77
1258,Gadget Geek,Episode 1,118.53,Technology,89.75,Sunday,Night,,0,Negative,112.24783
1268,Comedy Corner,Episode 84,26.57,Comedy,61.99,Sunday,Morning,39.75,1,Neutral,15.17999
1282,Fitness First,Episode 60,31.37,Health,50.33,Sunday,Afternoon,53.46,1,Neutral,23.94702
1283,Educational Nuggets,Episode 42,88.84,Education,25.31,Sunday,Night,,0,Negative,74.35411
1285,Detective Diaries,Episode 18,112.55,True Crime,31.75,Sunday,Morning,13.54,0,Negative,102.16795
1288,Laugh Line,Episode 72,83.66,Comedy,81.68,Sunday,Evening,41.49,3,Positive,42.69063
1289,Digital Digest,Episode 32,,Technology,23.22,Sunday,Evening,,1,Negative,73.26
1300,Gadget Geek,Episode 78,7.99,Technology,26.72,Sunday,Evening,40.34,3,Neutral,2.67425
1302,Business Briefs,Episode 12,29.81,Business,99.45,Sunday,Evening,,1,Negative,15.22354
1307,Finance Focus,Episode 86,26.02,Business,40.02,Sunday,Night,73.67,2,Neutral,15.77974
1316,Market Masters,Episode 71,64.08,Business,30.51,Sunday,Night,28.21,0,Positive,68.63865
1322,Market Masters,Episode 27,84.46,Business,31.82,Sunday,Afternoon,15.72,1,Positive,64.25231
1339,Business Insights,Episode 80,108.37,Business,74.8,Sunday,Night,,1,Negative,51.94897
1344,Tech Talks,Episode 51,81.04,Technology,84.62,Sunday,Morning,22.31,1,Positive,48.02906
1345,Humor Hub,Episode 83,107.41,Comedy,29.67,Sunday,Morning,56.27,2,Negative,73.95388
1346,Market Masters,Episode 63,117.71,Business,24.37,Sunday,Night,79.72,3,Neutral,65.47608
1348,Business Insights,Episode 62,90.11,Business,69.71,Sunday,Night,,0,Neutral,80.48327
1350,Fitness First,Episode 3,86.55,Health,35.72,Sunday,Morning,,3,Neutral,50.2083
1378,Mystery Matters,Episode 32,112.36,True Crime,86.58,Sunday,Evening,67.56,0,Negative,97.53163
1379,Athlete's Arena,Episode 10,84.19,Sports,74.92,Sunday,Morning,19.52,3,Positive,51.20621
1391,Fitness First,Episode 60,71.32,Health,98.11,Sunday,Night,23.17,0,Negative,59.41892
1395,Wellness Wave,Episode 4,71.64,Health,77.58,Sunday,Afternoon,,3,Positive,32.22671
1396,Humor Hub,Episode 91,78.88,Comedy,99.49,Sunday,Night,82.08,2,Neutral,56.24182
1411,Tech Talks,Episode 83,26.83,Technology,26.15,Sunday,Morning,,1,Positive,23.36
1414,Crime Chronicles,Episode 63,10.69,True Crime,21.53,Sunday,Night,,3,Positive,4.57532
1418,Innovators,Episode 26,116.26,Technology,73.24,Sunday,Morning,31.72,3,Negative,56.88
1419,Learning Lab,Episode 20,107.78,Education,41.98,Sunday,Evening,91.71,2,Negative,63.69697
1428,Detective Diaries,Episode 26,78.43,True Crime,69.52,Sunday,Night,58.23,3,Neutral,35.7023
1435,Sport Spot,Episode 10,26.99,Sports,97.98,Sunday,Night,91.38,3,Neutral,13.58
1439,Fashion Forward,Episode 56,118.45,Lifestyle,54.8,Sunday,Night,81.72,0,Neutral,88.95388
1446,Game Day,Episode 37,66.49,Sports,52.39,Sunday,Morning,31.41,0,Neutral,56.9426
1450,Current Affairs,Episode 23,32.74,News,86.93,Sunday,Morning,48.84,1,Negative,14.95
1451,Sound Waves,Episode 44,95.96,Music,24.07,Sunday,Morning,89.25,3,Negative,74.27
1478,Market Masters,Episode 72,71.64,Business,85.64,Sunday,Morning,19.3,1,Neutral,55.39661
1479,Tech Talks,Episode 71,99.77,Technology,22.79,Sunday,Night,33.16,3,Negative,55.6955
1481,Learning Lab,Episode 63,,Education,37.37,Sunday,Morning,,1,Neutral,46.26548
1501,Sports Central,Episode 82,42.41,Sports,35.94,Sunday,Night,25.96,2,Neutral,40.45127
1505,Wellness Wave,Episode 44,22.03,Health,87.02,Sunday,Evening,76.8,1,Neutral,14.31059
1512,Tune Time,Episode 33,13.72,Music,34.47,Sunday,Evening,33.34,3,Positive,8.79376
1517,Laugh Line,Episode 42,6.6,Comedy,67.67,Sunday,Evening,,1,Neutral,0
1521,Tech Talks,Episode 14,94.99,Technology,47.41,Sunday,Evening,88.69,2,Positive,61.67722
1522,Daily Digest,Episode 81,13.17,News,31.57,Sunday,Afternoon,31.99,1,Negative,11.18476
1526,Healthy Living,Episode 32,117.97,Health,40.17,Sunday,Evening,56.29,2,Negative,62.46509
1531,Detective Diaries,Episode 6,92.38,True Crime,29.98,Sunday,Afternoon,2.36,2,Negative,63.06457
1533,Joke Junction,Episode 40,62.33,Comedy,64.25,Sunday,Morning,,1,Positive,56.69415
1536,Current Affairs,Episode 9,92.16,News,87.16,Sunday,Evening,,1,Positive,58.62311
1545,Money Matters,Episode 35,79.58,Business,27.84,Sunday,Night,54.25,0,Positive,74.88
1551,News Roundup,Episode 43,57.77,News,81.81,Sunday,Evening,6.02,1,Positive,36.57728
1554,Health Hour,Episode 30,54.29,Health,35.27,Sunday,Evening,46.98,3,Negative,40.56182
1561,Gadget Geek,Episode 33,36.01,Technology,31.25,Sunday,Evening,62.32,0,Negative,25.01009
1565,Business Insights,Episode 80,6.71,Business,67.38,Sunday,Evening,,3,Negative,0
1575,Business Briefs,Episode 71,,Business,62.91,Sunday,Evening,,0,Negative,50.11849
1583,Comedy Corner,Episode 13,54.63,Comedy,22.63,Sunday,Evening,2.01,2,Neutral,30.05284
1595,Brain Boost,Episode 24,30.33,Education,24.65,Sunday,Afternoon,87.04,0,Neutral,22.5741
1598,Home & Living,Episode 23,46.36,Lifestyle,76.66,Sunday,Afternoon,22.19,0,Neutral,19.59918
1599,Tech Trends,Episode 77,39.87,Technology,30.78,Sunday,Evening,,1,Negative,21.47669
1600,Study Sessions,Episode 26,35.54,Education,76.95,Sunday,Morning,90.13,2,Negative,26.11731
1602,Crime Chronicles,Episode 90,98.14,True Crime,59.51,Sunday,Afternoon,29.37,2,Positive,49.96951
1615,Humor Hub,Episode 3,,Comedy,27.8,Sunday,Night,80.85,2,Neutral,44.6717
1616,Study Sessions,Episode 83,56.35,Education,25.33,Sunday,Evening,80.88,2,Negative,26.02938
1617,Gadget Geek,Episode 7,85.54,Technology,51.66,Sunday,Night,46.13,2,Negative,45.57466
1628,Brain Boost,Episode 61,84.57,Education,70.4,Sunday,Evening,49.52,1,Positive,59.30682
1650,Lifestyle Lounge,Episode 87,,Lifestyle,80.09,Sunday,Evening,16.53,0,Negative,15.64404
1652,Mystery Matters,Episode 65,44.26,True Crime,75.87,Sunday,Evening,67.46,3,Negative,26.6697
1663,Finance Focus,Episode 88,6.31,Business,40.14,Sunday,Evening,43.81,3,Neutral,0
1666,Sport Spot,Episode 38,59.34,Sports,34.85,Sunday,Night,28.7,1,Negative,42.12557
1681,Fitness First,Episode 5,99.89,Health,67.38,Sunday,Morning,54.14,0,Positive,80.86574
1685,Crime Chronicles,Episode 52,105.49,True Crime,70.8,Sunday,Afternoon,48.4,1,Neutral,83.30919
1691,Digital Digest,Episode 82,16.04,Technology,96.41,Sunday,Afternoon,83.48,1,Negative,0.88018
